bedrooms,type,location,area,bathrooms,parking,price
1.0,apartment,Muizenberg,34.0,1,1,895000.0
3.0,house,Rondebosch Village,87.0,1.5,1,2225000.0
2.0,apartment,Gardens,80.0,1,2,2295000.0
1.0,apartment,Gardens,46.0,1,1,1850000.0
2.0,house,Plumstead,474.0,1,4,1995000.0
1.0,apartment,Cape Town City Centre,48.0,1,1,2295000.0
3.0,house,Diep River,796.0,1.5,2,2695000.0
0,apartment,Tamboerskloof,44.0,1,1,1595000.0
1.0,apartment,Cape Town City Centre,48.0,1,1,2295000.0
2.0,apartment,Claremont Upper,60.0,1,1,2300000.0
3.0,house,Fairways,496.0,2,4,2700000.0
2.0,house,Claremont,239.0,1,1,2695000.0
2.0,apartment,Claremont Upper,60.0,1,1,2050000.0
3.0,house,Lakeside,624.0,2,2,2995000.0
1.0,apartment,Woodstock,70.0,1,1,1950000.0
1.0,apartment,Cape Town City Centre,44.0,1,1,1695000.0
1.0,apartment,Cape Town City Centre,83.0,1,1,3095000.0
3.0,house,Marina Da Gama,640.0,3,2,2950000.0
1.0,apartment,Zonnebloem,43.0,1,1,1250000.0
3.0,apartment,Kenilworth Upper,128.0,2,2,2495000.0
1.0,apartment,Kenilworth,59.0,1,1,1295000.0
3.0,house,Marina Da Gama,595.0,2,1,2650000.0
3.0,house,Vredehoek,575.0,2,2,9750000.0
2.0,house,Woodstock,94.0,1,1,1500000.0
2.0,apartment,Green Point,118.0,2,1,5950000.0
0,apartment,Tamboerskloof,44.0,1,1,1595000.0
3.0,house,Constantia,216.0,2.5,1,3995000.0
1.0,apartment,Cape Town City Centre,48.0,1,1,2295000.0
2.0,apartment,Green Point,78.0,1,2,2675000.0
1.0,apartment,Cape Town City Centre,48.0,1,1,2295000.0
2.0,apartment,Gardens,158.0,2.5,2,5250000.0
2.0,house,Plumstead,78.0,1,1,1300000.0
2.0,apartment,Pinelands,102.0,1.5,1,1795000.0
2.0,apartment,Green Point,118.0,2,1,5950000.0
1.0,apartment,Rondebosch,91.0,1,1,1745000.0
2.0,apartment,Thornton,54.0,1,1,650000.0
3.0,house,Constantia,216.0,2.5,1,3995000.0
1.0,apartment,Rondebosch,91.0,1,1,1745000.0
2.0,apartment,Green Point,78.0,1,2,2675000.0
2.0,apartment,Gardens,158.0,2.5,2,5250000.0
2.0,apartment,Pinelands,102.0,1.5,1,1795000.0
2.0,house,Plumstead,78.0,1,1,1300000.0
3.0,apartment,Green Point,364.0,3.5,2,14995000.0
5.0,house,Tokai,743.0,5.5,2,4995000.0
2.0,apartment,Pinelands,102.0,1.5,1,1795000.0
2.0,house,Plumstead,78.0,1,1,1300000.0
3.0,apartment,Green Point,364.0,3.5,2,14995000.0
1.0,apartment,Observatory,58.0,1,1,1475000.0
3.0,house,Claremont,304.0,4,3,5295000.0
0,apartment,Cape Town City Centre,40.0,1,1,1753850.0
2.0,apartment,Claremont Upper,130.0,2.5,2,4488000.0
3.0,apartment,Plumstead,169.0,2,2,3945000.0
2.0,apartment,Kenilworth Upper,93.0,1,3,1750000.0
0,apartment,Cape Town City Centre,40.0,1,1,1753850.0
4.0,house,Tamboerskloof,268.0,3,1,6595000.0
1.0,apartment,Sea Point,117.0,1,1,5500000.0
2.0,apartment,Gardens,58.0,1,1,1750000.0
1.0,apartment,Oranjezicht,40.0,1,1,2200000.0
3.0,house,Pinelands,818.0,2,6,2995000.0
1.0,apartment,Claremont Upper,59.0,1,1,1550000.0
3.0,house,Claremont,404.0,2,2,4850000.0
1.0,apartment,Woodstock,68.0,1,1,1400000.0
2.0,apartment,Gardens,81.0,1,1,3275000.0
3.0,apartment,Waterfront,174.0,2,2,14944250.0
3.0,apartment,Rondebosch,105.0,1.5,1,2595000.0
3.0,house,Ottery,578.0,2,4,2590000.0
3.0,house,Ottery,578.0,2,4,2590000.0
5.0,house,Tokai,1.0,4.5,6,5690000.0
5.0,house,Constantia,1.0,5,2,16000000.0
2.0,house,Newlands,192.0,1,1,5500000.0
4.0,house,Kalk Bay,392.0,2,1,7300000.0
6.0,house,Tamboerskloof,408.0,7,1,9500000.0
5.0,house,Rondebosch,951.0,4,2,0
3.0,house,Grassy Park,93.0,2,4,1600000.0
3.0,house,Rondebosch,350.0,3,2,4485000.0
